clave_articulo,descripcion,inventarios,tipo_documentos,linea,serie,unidad,unidad_empaque,cantidad_almacen,rack,control_almacen,concepto,tipo_documento,documento,clave_cliente_proveedor,clave_vendedor,cantidad,precio,costo,tiempo_surtido,stock_min,stock_max,tipo_costeo,fecha_ultima_compra,pendiente_recibir,fecha_ultima_venta,pendientes_surtir,existencias,costo_promedio,ultimo_costo,tipo_elemento,unidad_salida,factor_entre_unidades,apartados,lote,pedimento,peso,volumen,clave_esuqema,cantidad_ventas_anuales,monto_ventas_anuales,cantidad_compras_anuales,monto_compras_anuales,cuenta_contable,estatus,manejo_ieps,tax_num,cuota_ieps,forma_ieps,clave_sat,clave_unidad,catalogo,id_catalogo,titulo_ml,color,medidas,volts,a,w,marca
RESI-KOHMS510,RES 4.7K OHMS 1/4W,1,M,REF,N,PZ,,4,1A,4-1A,,,,MAMJ56051,,,,,7,2,20,,,,,,,1,1,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,GENERICA
RESI-KOHMS511,RES 47K OHMS 1/4W,1,M,REF,N,PZ,,4,1A,4-1A,,,,MAMJ56051,,,,,7,2,20,,,,,,,1,1,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,GENERICA
REZANADOR,REZANADOR,1,M,CON,N,PZ,,7,1PS,7-1PS,,,,DPK131219,,,,,7,0,2,,,,,,,648.6,648.6,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,GENERICA
RGZE,MOTOREDUCTOR ESTRELLA 20 DIENT,1,M,ACO,S,PZ,,1,14E,1-14E,,,,GTR150812,,,,,7,0,2,,,,,,,,,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,GENERICA
RIEL-U100,RIEL U 100,1,M,ACO,N,PZ,,3,3PI,3-3PI,,,,AGA091112,,,,,7,0,10,,,,,,,950,950,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,GENERICA
RIELES-CAJON,RIELES PARA CAJON S,1,M,ACO,N,PR,,1,10D,1-10D,,,,AGA091112,,,,,7,0,10,,,,,,,,,P,PR,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,GENERICA
RIN-10-1/2X7-3/4,RIN MONTACARGAS 10.5 X 7.75 ,1,M,REF,N,PZ,,1,5E,1-5E,,,,TTC920120,,,,,7,0,10,,,,,,,,,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,GENERICA
RKCA55-411009,REPUESTO VAPORISADOR RKCA55,1,M,REF,N,PZ,,1,4D,1-4D,,,,TTC920120,,,,,7,0,2,,,,,,,,,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,GENERICA
RKJ510205,REPUESTO VAPORISADOR RKJ510205,1,M,REF,N,PZ,,1,4D,1-4D,,,,TTC920120,,,,,7,0,2,,,,,,,,,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,GENERICA
RML501,LIQUIDO FRENOS RML501 WAGNER,1,M,CON,N,LT,,1,5D,1-5D,,,,SVE000216,,,,,3,0,2,,2021/4/28,,,,,,,P,LT,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,WAGNER
ROCETA6P,ROCETA DOBLE PARA TELEFONO,1,M,ACO,N,PZ,,1,9C,1-9C,,,,NMQ050902,,,,,7,0,3,,,,,,,,,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,GENERICA
RODILLERA,RODILLERAS DE HULE ESPUMA,1,M,ESS,N,PR,,1,15B,1-15B,,,,NMQ050902,,,,,7,1,10,,,,,,,,,P,PR,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,GENERICA
ROMANA 77,PLANTILLAS DE LETRAS 77 46PZ,1,M,ACO,N,PZ,,1,17B,1-17B,,,,ODM950324,,,,,7,0,2,,2021/4/22,,,,,57,57,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,GENERICA
ROND-1-1/8,RONDANA 1 1/8,1,M,ACO,N,PZ,,1,17C,1-17C,,,,MAMR69090,,,,,7,5,50,,,,,,,10,10,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,GENERICA
ROND-1-3/16,RONDANA PLANA 1.5MM X 30MM,1,M,ACO,N,PZ,,1,17C,1-17C,,,,MAMR69090,,,,,7,5,50,,,,,,,,,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,GENERICA
ROND-1-9/16,RONDANA PLANA 0.08MM X 40MM,1,M,ACO,N,PZ,,1,17C,1-17C,,,,MAMR69090,,,,,7,5,50,,,,,,,,,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,GENERICA
ROND-3-3/8,RONDANA PLANA 3.2MM X 60MM,1,M,ACO,N,PZ,,1,17C,1-17C,,,,MAMR69090,,,,,7,5,50,,,,,,,,,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,GENERICA
ROND-SEG-1/4,RONDANA SELLADORA DE 1/4 ,1,M,ACO,N,GR,,1,17C,1-17C,,,,MAMR69090,,,,,7,5,50,,,,,,,,,P,GR,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,GENERICA
RONDANA6ES,RONDANA ESTRIADA # 6,1,M,ACO,N,PZ,,1,17B,1-17B,,,,MAMR69090,,,,,7,5,50,,2021/6/3,,,,,0.58,0.58,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,GENERICA
ROT-BYD-PIEZAS,TALADRO B&D ROJO PIEZAS,1,M,HTA,S,PZ,,1,12D,1-12D,,,,GTR150812,,,,,7,0,2,,,,,,,,,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,ROJO,1/2,,,,GENERICA
ROTO1/2NX2,ROTOMARTILLO ROTO-1/2NX2 TRUPER,1,M,HTA,S,PZ,,1,12D,1-12D,,,,NMQ050902,,,,,7,0,5,,,,,,,,,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,,1/2,,,,GENERICA
